run_id,season,model_version,data_version,feature_version,training_window,validation_window,prediction_timestamp,latest_source_timestamp_used,calibration_method,market_weight,hyperparameters,metrics,git_commit_if_available,generated_at,stage,notes
predict_20260818T022359Z_dbeff6fb,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T02:23:59+00:00,2026-08-17T22:25:05+00:00,ensemble_stacking_logreg,0.0,{},{},7bb6f3e,2026-08-18T02:23:59+00:00,predict_all_matches,"380 fixtures, method=ensemble_stacking_logreg"
simulation_20260818T022735Z_41231817,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T02:27:35+00:00,2026-08-18T02:27:35+00:00,none,0.0,{},{},7bb6f3e,2026-08-18T02:27:35+00:00,full_season_simulation,"3000 sims, promoted_elo_offset=-97.2"
simulation_20260818T022822Z_7b3a5c27,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T02:28:22+00:00,2026-08-18T02:28:22+00:00,none,0.0,{},{},7bb6f3e,2026-08-18T02:28:22+00:00,full_season_simulation,"250000 sims, promoted_elo_offset=-97.2"
predict_20260818T023012Z_1b88b550,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T02:30:12+00:00,2026-08-17T22:25:05+00:00,ensemble_stacking_logreg,0.0,{},{},7bb6f3e,2026-08-18T02:30:12+00:00,predict_all_matches,"380 fixtures, method=ensemble_stacking_logreg"
ensemble_20260818T030032Z_e2fc53da,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T03:00:32+00:00,2026-08-18T03:00:32+00:00,none,0.0,"{""n_folds"": 5, ""meta_C"": 1.0, ""n_bootstrap"": 10000}","{""ensemble_log_loss"": 0.9833859742674818, ""ensemble_brier"": 0.585306735738435, ""ensemble_rps"": 0.2030519642218267, ""dc_log_loss"": 0.9865368037056392, ""dc_brier"": 0.5864230436691991, ""dc_rps"": 0.20351385662048616}",c99be24,2026-08-18T03:00:32+00:00,stacked_ensemble,"significant=False, ci=[-0.0021,0.0087]"
predict_20260818T030055Z_e1618fe2,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T03:00:55+00:00,2026-08-17T22:25:05+00:00,isotonic,0.0,{},{},c99be24,2026-08-18T03:00:55+00:00,predict_all_matches,"380 fixtures, method=isotonic"
predict_20260818T030152Z_9c98dcc4,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T03:01:52+00:00,2026-08-17T22:25:05+00:00,isotonic,0.0,{},{},c99be24,2026-08-18T03:01:52+00:00,predict_all_matches,"380 fixtures, method=isotonic"
simulation_20260818T120815Z_5ed5b1a1,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T12:08:15+00:00,2026-08-18T12:08:15+00:00,none,0.0,{},{},0cc520b,2026-08-18T12:08:15+00:00,full_season_simulation,"5000 sims, promoted_elo_offset=-97.2"
simulation_20260818T121050Z_eb888518,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T12:10:50+00:00,2026-08-18T12:10:50+00:00,none,0.0,{},{},0cc520b,2026-08-18T12:10:50+00:00,full_season_simulation,"5000 sims, promoted_elo_offset=-97.2"
simulation_20260818T121753Z_875b27ea,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T12:17:53+00:00,2026-08-18T12:17:53+00:00,none,0.0,{},{},0cc520b,2026-08-18T12:17:53+00:00,full_season_simulation,"5000 sims, promoted_elo_offset=-97.2"
simulation_20260818T121901Z_89a068f2,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T12:19:01+00:00,2026-08-18T12:19:01+00:00,none,0.0,{},{},0cc520b,2026-08-18T12:19:01+00:00,full_season_simulation,"250000 sims, promoted_elo_offset=-97.2"
simulation_20260818T174410Z_bc4f2127,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T17:44:10+00:00,2026-08-18T17:44:10+00:00,none,0.0,{},{},6ebb6b8,2026-08-18T17:44:10+00:00,full_season_simulation,"5000 sims, promoted_elo_offset=-97.2"
simulation_20260818T174530Z_4c3f91cd,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T17:45:30+00:00,2026-08-18T17:45:30+00:00,none,0.0,{},{},6ebb6b8,2026-08-18T17:45:30+00:00,full_season_simulation,"250000 sims, promoted_elo_offset=-97.2"
predict_20260818T185946Z_1f88f963,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-18T18:59:46+00:00,2026-08-17T22:25:05+00:00,isotonic,0.0,{},{},0b3eefe,2026-08-18T18:59:46+00:00,predict_all_matches,"380 fixtures, method=isotonic"
predict_20260819T123206Z_239c476a,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-19T12:32:06+00:00,2026-08-17T22:25:05+00:00,isotonic,0.0,{},{},610a546,2026-08-19T12:32:06+00:00,predict_all_matches,"380 fixtures, method=isotonic"
predict_20260819T173228Z_757a4260,2026-27,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,,,2026-08-19T17:32:28+00:00,2026-08-17T22:25:05+00:00,isotonic,0.0,{},{},65ee421,2026-08-19T17:32:28+00:00,predict_all_matches,"380 fixtures, method=isotonic"
